Y,X1,X2,X3,X4,X5,X6,X7
999,0.306,0.669,0.837,0.343,0.758,0.825,0.828
999,0.298,0.698,0.767,0.257,0.691,0.725,0.747
999,0.289,0.645,0.584,0.277,0.686,0.716,0.722
999,0.281,0.652,0.538,0.298,0.698,0.793,0.792
0.363,0.273,0.702,0.609,0.318,0.676,0.784,0.784
999,0.265,0.685,0.628,0.338,0.653,0.75,0.757
999,0.257,0.687,0.622,0.358,0.629,0.758,0.74
999,0.249,0.692,0.636,0.378,0.609,0.784,0.771
999,0.241,0.702,0.637,0.381,0.596,0.77,0.76
999,0.233,0.69,0.699,0.383,0.583,0.745,0.756
999,0.225,0.673,0.703,0.385,0.553,0.747,0.72
999,0.217,0.685,0.707,0.387,0.524,0.712,0.698
999,0.209,0.681,0.711,0.389,0.494,0.718,0.702
999,0.19,0.664,0.715,0.392,0.448,0.702,0.682
0.335,0.172,0.681,0.693,0.394,0.415,0.687,0.643
999,0.178,0.676,0.679,0.397,0.392,0.672,0.631
999,0.191,0.686,0.667,0.409,0.369,0.66,0.618
999,0.204,0.647,0.598,0.42,0.361,0.653,0.633
999,0.217,0.649,0.599,0.431,0.4,0.694,0.659
999,0.23,0.691,0.603,0.443,0.417,0.717,0.69
999,0.243,0.699,0.604,0.454,0.434,0.685,0.678
999,0.256,0.682,0.603,0.465,0.45,0.676,0.665
999,0.269,0.69,0.598,0.476,0.467,0.692,0.662
999,0.282,0.666,0.598,0.504,0.483,0.71,0.705
0.565,0.295,0.66,0.436,0.541,0.512,0.706,0.71
999,0.307,0.674,0.497,0.578,0.589,0.806,0.802
999,0.32,0.666,0.511,0.616,0.659,0.83,0.83
999,0.333,0.695,0.5,0.653,0.727,0.876,0.873
999,0.383,0.698,0.503,0.69,0.795,0.86,0.871
999,0.418,0.694,0.575,0.71,0.837,0.894,0.883
999,0.418,0.654,0.58,0.711,0.856,0.892,0.922
999,0.417,0.687,0.569,0.711,0.875,0.911,0.912
999,0.416,0.687,0.575,0.712,0.895,0.966,0.962
999,0.415,0.652,0.571,0.713,0.915,0.939,0.933
0.63,0.415,0.651,0.575,0.714,0.936,0.896,0.911
999,0.388,0.667,0.573,0.715,0.909,0.844,0.851
999,0.346,0.665,0.58,0.624,0.862,0.76,0.782
999,0.305,0.657,0.576,0.511,0.809,0.727,0.737
999,0.269,0.715,0.58,0.397,0.758,0.722,0.732
999,0.272,0.713,0.579,0.358,0.736,0.734,0.754
999,0.274,0.664,0.574,0.361,0.713,0.733,0.742
999,0.277,0.69,0.574,0.364,0.697,0.77,0.778
999,0.279,0.669,0.582,0.379,0.703,0.793,0.766
999,0.282,0.66,0.556,0.421,0.71,0.787,0.786
0.283,0.285,0.696,0.549,0.462,0.717,0.782,0.797
999,0.287,0.684,0.571,0.504,0.724,0.814,0.809
999,0.29,0.662,0.581,0.546,0.731,0.808,0.803
999,0.292,0.664,0.576,0.563,0.738,0.804,0.798
999,0.295,0.688,0.578,0.553,0.739,0.754,0.777
999,0.297,0.67,0.584,0.543,0.719,0.73,0.74
999,0.3,0.658,0.579,0.533,0.669,0.706,0.704
999,0.302,0.698,0.575,0.523,0.671,0.759,0.753
999,0.305,0.665,0.572,0.512,0.68,0.756,0.742
999,0.307,0.652,0.575,0.528,0.69,0.791,0.775
0.256,0.31,0.671,0.581,0.533,0.7,0.798,0.783
999,0.312,0.662,0.599,0.47,0.709,0.775,0.775
999,0.27,0.681,0.598,0.462,0.719,0.805,0.786
999,0.275,0.673,0.606,0.467,0.728,0.777,0.792
999,0.276,0.681,0.585,0.473,0.738,0.775,0.784
999,0.275,0.675,0.6,0.478,0.736,0.772,0.768
999,0.274,0.679,0.6,0.483,0.725,0.756,0.778
999,0.273,0.677,0.602,0.488,0.713,0.757,0.755
999,0.272,0.669,0.607,0.493,0.706,0.772,0.758
999,0.271,0.658,0.601,0.498,0.707,0.758,0.741
0.303,0.27,0.687,0.597,0.503,0.708,0.756,0.767
999,0.27,0.658,0.599,0.509,0.713,0.787,0.778
999,0.28,0.68,0.602,0.517,0.727,0.767,0.772
999,0.302,0.687,0.606,0.528,0.741,0.808,0.806
999,0.315,0.657,0.597,0.54,0.755,0.834,0.818
999,0.285,0.656,0.602,0.551,0.762,0.802,0.809
999,0.304,0.659,0.611,0.558,0.741,0.766,0.784
999,0.278,0.663,0.64,0.54,0.72,0.758,0.77
999,0.28,0.66,0.615,0.521,0.704,0.711,0.754
999,0.282,0.654,0.546,0.502,0.708,0.723,0.748
0.281,0.284,0.652,0.534,0.484,0.713,0.791,0.778
999,0.286,0.684,0.528,0.465,0.718,0.801,0.816
999,0.288,0.651,0.544,0.446,0.722,0.797,0.784
999,0.29,0.673,0.559,0.428,0.726,0.794,0.787
999,0.292,0.658,0.535,0.409,0.71,0.759,0.774
999,0.294,0.692,0.562,0.391,0.712,0.758,0.776
999,0.296,0.654,0.492,0.372,0.705,0.78,0.76
999,0.298,0.675,0.431,0.353,0.698,0.73,0.725
999,0.3,0.643,0.368,0.346,0.694,0.753,0.723
999,0.3,0.653,0.266,0.353,0.696,0.709,0.728
0.232,0.296,0.664,0.26,0.359,0.728,0.747,0.77
999,0.291,0.692,0.238,0.365,0.734,0.745,0.77
999,0.287,0.669,0.272,0.371,0.74,0.748,0.746
999,0.283,0.695,0.328,0.378,0.741,0.745,0.753
999,0.279,0.681,0.362,0.384,0.734,0.749,0.768
999,0.274,0.663,0.365,0.39,0.727,0.719,0.714
999,0.27,0.674,0.387,0.397,0.718,0.714,0.727
999,0.266,0.684,0.342,0.403,0.723,0.739,0.74
999,0.262,0.648,0.395,0.409,0.73,0.739,0.753
999,0.257,0.675,0.388,0.415,0.718,0.747,0.733
0.3,0.253,0.657,0.358,0.422,0.708,0.72,0.707
999,0.249,0.664,0.354,0.428,0.702,0.732,0.732
999,0.245,0.665,0.321,0.434,0.695,0.729,0.746
999,0.24,0.676,0.251,0.441,0.693,0.735,0.717
999,0.238,0.69,0.238,0.447,0.699,0.724,0.752
999,0.247,0.652,0.182,0.453,0.705,0.733,0.756
999,0.256,0.672,0.192,0.459,0.709,0.721,0.766
999,0.265,0.662,0.143,0.466,0.71,0.755,0.755
999,0.275,0.682,0.152,0.472,0.723,0.74,0.749
999,0.284,0.666,0.149,0.478,0.723,0.773,0.759
0.225,0.293,0.665,0.158,0.481,0.724,0.763,0.781
999,0.29,0.685,0.159,0.483,0.722,0.763,0.773
999,0.286,0.681,0.184,0.484,0.72,0.742,0.78
999,0.282,0.685,0.2,0.486,0.717,0.749,0.77
999,0.278,0.666,0.184,0.487,0.715,0.737,0.745
999,0.274,0.662,0.148,0.489,0.713,0.729,0.719
999,0.27,0.676,0.143,0.49,0.71,0.734,0.724
999,0.272,0.698,0.121,0.492,0.708,0.737,0.755
999,0.277,0.654,0.123,0.493,0.706,0.771,0.777
999,0.282,0.665,0.142,0.494,0.71,0.771,0.773
0.305,0.286,0.673,0.139,0.496,0.711,0.732,0.746
999,0.291,0.694,0.126,0.497,0.713,0.738,0.764
999,0.296,0.686,0.128,0.499,0.714,0.726,0.751
999,0.301,0.691,0.127,0.502,0.716,0.742,0.76
999,0.305,0.687,0.168,0.514,0.719,0.777,0.787
999,0.31,0.653,0.189,0.526,0.731,0.774,0.763
999,0.315,0.66,0.254,0.538,0.742,0.763,0.756
999,0.32,0.693,0.253,0.549,0.728,0.729,0.729
999,0.213,0.663,0.232,0.561,0.714,0.753,0.737
999,0.222,0.672,0.224,0.573,0.709,0.714,0.71
0.455,0.23,0.68,0.164,0.585,0.71,0.709,0.706
999,0.237,0.656,0.133,0.597,0.712,0.734,0.704
999,0.237,0.666,0.122,0.609,0.714,0.734,0.73
999,0.238,0.654,0.136,0.621,0.715,0.737,0.745
999,0.238,0.673,0.155,0.613,0.717,0.735,0.746
999,0.239,0.692,0.141,0.605,0.718,0.743,0.751
999,0.239,0.646,0.169,0.596,0.72,0.719,0.755
999,0.24,0.697,0.176,0.588,0.721,0.73,0.747
999,0.24,0.677,0.181,0.579,0.722,0.741,0.754
999,0.241,0.655,0.242,0.57,0.723,0.763,0.773
0.291,0.241,0.695,0.271,0.562,0.724,0.738,0.774
999,0.242,0.657,0.303,0.553,0.725,0.793,0.765
999,0.242,0.69,0.36,0.545,0.725,0.792,0.799
999,0.243,0.677,0.357,0.536,0.725,0.759,0.773
999,0.243,0.663,0.398,0.527,0.722,0.787,0.783
999,0.244,0.691,0.394,0.519,0.716,0.749,0.739
999,0.244,0.66,0.378,0.51,0.704,0.729,0.732
999,0.244,0.653,0.332,0.502,0.694,0.733,0.75
999,0.248,0.659,0.242,0.493,0.685,0.746,0.74
999,0.256,0.684,0.253,0.485,0.713,0.766,0.764
0.243,0.264,0.659,0.25,0.476,0.718,0.759,0.772
999,0.271,0.68,0.274,0.467,0.723,0.787,0.759
999,0.279,0.647,0.23,0.459,0.723,0.754,0.772
999,0.286,0.675,0.265,0.45,0.709,0.72,0.751
999,0.294,0.637,0.122,0.442,0.676,0.721,0.697
999,0.302,0.679,0.13,0.433,0.708,0.771,0.763
999,0.309,0.681,0.172,0.438,0.729,0.806,0.816
999,0.305,0.667,0.173,0.45,0.731,0.785,0.79
999,0.3,0.676,0.184,0.462,0.728,0.734,0.75
999,0.295,0.667,0.172,0.474,0.718,0.73,0.725
0.26,0.291,0.691,0.133,0.486,0.699,0.712,0.719
999,0.286,0.679,0.112,0.498,0.675,0.691,0.688
999,0.281,0.642,0.0447,0.51,0.693,0.708,0.701
999,0.277,0.645,0.00753,0.56,0.71,0.737,0.741
999,0.272,0.652,0.0142,0.611,0.728,0.746,0.78
999,0.267,0.681,0.0529,0.662,0.746,0.764,0.776
999,0.263,0.678,0.0994,0.666,0.751,0.722,0.728
999,0.258,0.681,0.156,0.669,0.733,0.702,0.73
999,0.253,0.642,0.138,0.671,0.715,0.653,0.671
999,0.249,0.666,0.114,0.674,0.717,0.704,0.708
0.283,0.244,0.678,0.141,0.676,0.727,0.733,0.728
999,0.239,0.657,0.173,0.679,0.737,0.727,0.737
999,0.241,0.672,0.218,0.682,0.747,0.77,0.781
999,0.251,0.665,0.299,0.684,0.764,0.795,0.784
999,0.261,0.668,0.346,0.687,0.775,0.792,0.805
999,0.27,0.659,0.4,0.69,0.779,0.796,0.783
999,0.28,0.636,0.443,0.692,0.784,0.756,0.786
999,0.29,0.634,0.465,0.695,0.789,0.791,0.766
999,0.299,0.667,0.493,0.689,0.793,0.752,0.773
999,0.309,0.662,0.483,0.663,0.798,0.781,0.747
0.265,0.319,0.649,0.522,0.637,0.803,0.806,0.779
999,0.328,0.653,0.524,0.611,0.802,0.79,0.776
999,0.319,0.647,0.558,0.585,0.8,0.787,0.774
999,0.289,0.642,0.578,0.559,0.777,0.715,0.708
999,0.259,0.623,0.554,0.54,0.725,0.663,0.656
999,0.266,0.642,0.479,0.523,0.72,0.694,0.667
999,0.282,0.658,0.433,0.506,0.726,0.702,0.703
999,0.298,0.634,0.419,0.49,0.723,0.716,0.706
999,0.314,0.664,0.415,0.473,0.717,0.745,0.739
999,0.233,0.627,0.451,0.456,0.71,0.752,0.731
0.174,0.24,0.612,0.4,0.439,0.709,0.727,0.731
999,0.246,0.657,0.4,0.435,0.719,0.754,0.736
999,0.253,0.646,0.329,0.445,0.697,0.723,0.709
999,0.259,0.617,0.324,0.455,0.753,0.728,0.747
999,0.266,0.615,0.305,0.465,0.732,0.759,0.733
999,0.272,0.634,0.333,0.475,0.722,0.712,0.735
999,0.278,0.631,0.253,0.485,0.708,0.671,0.7
999,0.285,0.639,0.235,0.495,0.724,0.694,0.695
999,0.29,0.638,0.235,0.505,0.716,0.698,0.704
999,0.293,0.623,0.103,0.515,0.701,0.704,0.706
0.197,0.295,0.622,0.142,0.525,0.72,0.704,0.722
999,0.298,0.62,0.0591,0.535,0.708,0.704,0.722
999,0.3,0.628,0.0226,0.545,0.705,0.698,0.721
999,0.3,0.64,0.00404,0.551,0.708,0.72,0.752
999,0.298,0.64,0.0048,0.548,0.71,0.748,0.767
999,0.296,0.668,0.0195,0.546,0.713,0.772,0.78
999,0.294,0.658,0.0273,0.543,0.716,0.754,0.764
999,0.292,0.649,0.00547,0.541,0.692,0.718,0.727
999,0.29,0.659,0.0535,0.538,0.727,0.792,0.805
999,0.288,0.644,0.0831,0.535,0.75,0.799,0.804
0.25,0.286,0.633,0.161,0.533,0.749,0.783,0.788
999,0.284,0.667,0.163,0.53,0.738,0.764,0.761
999,0.282,0.662,0.234,0.527,0.737,0.757,0.761
999,0.279,0.642,0.198,0.525,0.725,0.706,0.69
999,0.277,0.612,0.181,0.522,0.708,0.722,0.697
999,0.275,0.651,0.217,0.52,0.729,0.728,0.72
999,0.273,0.632,0.204,0.517,0.715,0.74,0.716
999,0.271,0.671,0.233,0.514,0.727,0.756,0.763
999,0.269,0.647,0.218,0.512,0.713,0.753,0.758
999,0.267,0.631,0.258,0.51,0.718,0.741,0.735
0.278,0.265,0.645,0.272,0.508,0.696,0.729,0.732
999,0.263,0.61,0.152,0.506,0.681,0.751,0.721
999,0.261,0.617,0.118,0.504,0.71,0.756,0.742
999,0.259,0.617,0.143,0.502,0.707,0.774,0.765
999,0.257,0.645,0.0358,0.5,0.678,0.751,0.752
999,0.257,0.634,0.0336,0.498,0.749,0.77,0.775
999,0.258,0.638,0.0463,0.497,0.717,0.755,0.779
999,0.258,0.634,0.0103,0.495,0.715,0.747,0.771
999,0.258,0.658,0.0537,0.493,0.711,0.755,0.764
999,0.259,0.617,0.0141,0.491,0.709,0.751,0.759
0.286,0.259,0.662,0.0464,0.489,0.734,0.75,0.77
999,0.26,0.655,0.013,0.487,0.715,0.725,0.728
999,0.26,0.628,0.0621,0.485,0.74,0.745,0.727
999,0.26,0.616,0.039,0.483,0.707,0.741,0.726
999,0.261,0.624,0.0391,0.481,0.71,0.731,0.732
999,0.261,0.614,0.0287,0.479,0.712,0.745,0.74
999,0.262,0.669,0.0122,0.477,0.691,0.726,0.757
999,0.262,0.664,0.0212,0.475,0.698,0.762,0.751
999,0.262,0.634,0.0189,0.473,0.714,0.725,0.75
999,0.263,0.625,0.0107,0.472,0.718,0.776,0.766
0.31,0.263,0.659,0.0246,0.47,0.72,0.785,0.782
999,0.263,0.625,0.0486,0.468,0.719,0.765,0.778
999,0.264,0.67,0.0295,0.466,0.719,0.74,0.767
999,0.264,0.674,0.0387,0.464,0.718,0.773,0.766
999,0.265,0.654,0.0574,0.462,0.716,0.762,0.735
999,0.263,0.631,0.0847,0.46,0.714,0.775,0.742
999,0.258,0.623,0.101,0.458,0.712,0.72,0.744
999,0.253,0.658,0.0412,0.456,0.694,0.735,0.726
999,0.246,0.646,0.0594,0.454,0.716,0.759,0.754
999,0.239,0.662,0.044,0.454,0.719,0.77,0.754
0.328,0.232,0.634,0.0805,0.457,0.727,0.772,0.756
999,0.225,0.621,0.0832,0.461,0.727,0.743,0.749
999,0.218,0.618,0.0745,0.464,0.722,0.763,0.759
999,0.211,0.649,0.0779,0.468,0.719,0.773,0.773
999,0.204,0.65,0.0621,0.471,0.718,0.772,0.786
999,0.212,0.63,0.0795,0.475,0.729,0.8,0.779
999,0.238,0.639,0.133,0.478,0.738,0.815,0.798
999,0.264,0.641,0.168,0.482,0.728,0.776,0.792
999,0.235,0.618,0.18,0.485,0.724,0.809,0.785
999,0.214,0.652,0.224,0.489,0.731,0.813,0.807
0.355,0.217,0.62,0.237,0.492,0.738,0.81,0.804
999,0.22,0.667,0.238,0.496,0.749,0.839,0.804
999,0.223,0.655,0.273,0.499,0.763,0.871,0.824
999,0.226,0.654,0.316,0.503,0.769,0.843,0.839
999,0.229,0.623,0.35,0.506,0.761,0.834,0.813
999,0.232,0.647,0.35,0.509,0.753,0.824,0.8
999,0.235,0.614,0.334,0.513,0.746,0.824,0.811
999,0.238,0.642,0.337,0.516,0.742,0.812,0.792
999,0.242,0.65,0.366,0.52,0.738,0.819,0.812
999,0.245,0.671,0.391,0.523,0.734,0.841,0.835
0.311,0.213,0.65,0.406,0.527,0.741,0.871,0.852
999,0.214,0.67,0.436,0.53,0.733,0.871,0.865
999,0.215,0.656,0.483,0.534,0.711,0.84,0.831
999,0.216,0.65,0.447,0.537,0.695,0.835,0.788
999,0.217,0.643,0.389,0.541,0.704,0.84,0.83
999,0.219,0.656,0.408,0.545,0.713,0.843,0.83
999,0.22,0.635,0.39,0.551,0.721,0.824,0.83
999,0.221,0.672,0.439,0.557,0.728,0.883,0.854
999,0.224,0.654,0.459,0.562,0.729,0.846,0.83
999,0.227,0.635,0.484,0.568,0.729,0.833,0.808
0.27,0.229,0.661,0.502,0.573,0.73,0.829,0.84
999,0.232,0.641,0.496,0.579,0.73,0.869,0.841
999,0.235,0.667,0.537,0.585,0.73,0.852,0.842
999,0.237,0.665,0.558,0.584,0.73,0.845,0.843
999,0.24,0.661,0.569,0.583,0.73,0.846,0.847
999,0.243,0.65,0.57,0.581,0.73,0.857,0.837
999,0.245,0.64,0.52,0.58,0.73,0.839,0.85
999,0.248,0.63,0.515,0.579,0.73,0.822,0.826
999,0.25,0.616,0.494,0.578,0.73,0.867,0.862
999,0.253,0.638,0.494,0.577,0.738,0.893,0.9
0.244,0.249,0.651,0.522,0.575,0.75,0.889,0.874
999,0.246,0.662,0.537,0.574,0.761,0.899,0.889
999,0.242,0.651,0.563,0.573,0.773,0.901,0.88
999,0.239,0.656,0.603,0.572,0.784,0.891,0.888
999,0.235,0.645,0.634,0.57,0.796,0.872,0.867
999,0.232,0.639,0.648,0.561,0.798,0.875,0.869
999,0.228,0.632,0.654,0.552,0.801,0.885,0.889
999,0.224,0.619,0.664,0.543,0.804,0.902,0.899
999,0.221,0.665,0.678,0.534,0.809,0.901,0.877
999,0.217,0.666,0.704,0.525,0.814,0.898,0.889
0.208,0.214,0.625,0.712,0.516,0.814,0.915,0.899
999,0.213,0.624,0.689,0.507,0.815,0.935,0.899
999,0.214,0.625,0.649,0.499,0.815,0.899,0.865
999,0.215,0.621,0.604,0.49,0.815,0.93,0.884
999,0.216,0.638,0.617,0.481,0.815,0.971,0.945
999,0.217,0.636,0.603,0.472,0.818,0.927,0.932
999,0.218,0.658,0.631,0.463,0.824,0.946,0.935
999,0.219,0.661,0.673,0.454,0.83,0.942,0.936
999,0.22,0.646,0.674,0.445,0.835,0.953,0.926
999,0.221,0.643,0.732,0.436,0.841,0.935,0.945
0.143,0.222,0.639,0.744,0.428,0.844,0.9,0.894
999,0.222,0.632,0.745,0.419,0.84,0.876,0.86
999,0.223,0.671,0.746,0.41,0.836,0.902,0.869
999,0.224,0.639,0.757,0.401,0.833,0.876,0.882
999,0.226,0.635,0.751,0.392,0.829,0.908,0.906
999,0.228,0.629,0.744,0.383,0.825,0.918,0.891
999,0.23,0.628,0.709,0.374,0.822,0.88,0.883
999,0.232,0.633,0.707,0.365,0.818,0.898,0.881
999,0.233,0.615,0.679,0.357,0.815,0.91,0.873
999,0.235,0.635,0.651,0.348,0.812,0.878,0.878
0.112,0.238,0.63,0.615,0.339,0.808,0.894,0.898
999,0.243,0.634,0.618,0.339,0.802,0.897,0.904
999,0.248,0.652,0.636,0.36,0.794,0.9,0.921
999,0.253,0.665,0.597,0.382,0.805,0.85,0.864
999,0.258,0.645,0.667,0.403,0.812,0.929,0.911
999,0.263,0.658,0.687,0.425,0.815,0.897,0.911
999,0.268,0.646,0.723,0.446,0.818,0.86,0.871
999,0.255,0.632,0.708,0.467,0.8,0.82,0.829
999,0.238,0.617,0.672,0.482,0.774,0.8,0.789
999,0.221,0.628,0.631,0.49,0.748,0.803,0.794
0.121,0.203,0.665,0.57,0.497,0.692,0.779,0.787
999,0.186,0.599,0.45,0.505,0.702,0.751,0.785
999,0.169,0.6,0.39,0.513,0.712,0.821,0.806
999,0.183,0.64,0.409,0.52,0.763,0.917,0.906
999,0.199,0.661,0.463,0.515,0.754,0.843,0.869
999,0.215,0.62,0.513,0.495,0.761,0.859,0.859
999,0.231,0.661,0.535,0.475,0.724,0.803,0.825
999,0.237,0.638,0.511,0.455,0.716,0.829,0.806
999,0.237,0.633,0.508,0.434,0.712,0.807,0.842
999,0.237,0.632,0.444,0.414,0.707,0.796,0.8
0.158,0.237,0.627,0.442,0.394,0.703,0.815,0.817
999,0.237,0.634,0.4,0.382,0.704,0.808,0.828
999,0.237,0.633,0.335,0.387,0.712,0.834,0.825
999,0.237,0.655,0.415,0.392,0.72,0.839,0.869
999,0.237,0.627,0.413,0.398,0.727,0.835,0.837
999,0.237,0.65,0.462,0.403,0.723,0.846,0.824
999,0.237,0.639,0.395,0.409,0.713,0.779,0.809
999,0.237,0.64,0.381,0.414,0.715,0.814,0.821
999,0.237,0.635,0.395,0.419,0.718,0.818,0.828
999,0.237,0.639,0.387,0.425,0.721,0.837,0.834
0.24,0.237,0.666,0.407,0.43,0.724,0.837,0.824
999,0.236,0.636,0.411,0.408,0.729,0.876,0.847
999,0.234,0.662,0.487,0.379,0.738,0.872,0.888
999,0.233,0.635,0.539,0.381,0.735,0.859,0.846
999,0.231,0.656,0.58,0.392,0.727,0.833,0.832
999,0.23,0.653,0.571,0.403,0.719,0.781,0.8
999,0.229,0.625,0.528,0.414,0.711,0.779,0.758
999,0.227,0.636,0.517,0.424,0.715,0.81,0.805
999,0.226,0.636,0.554,0.435,0.718,0.842,0.804
999,0.224,0.644,0.568,0.446,0.722,0.82,0.803
0.24,0.223,0.646,0.507,0.457,0.725,0.81,0.791
999,0.222,0.623,0.545,0.468,0.729,0.822,0.807
999,0.22,0.66,0.555,0.478,0.733,0.845,0.827
999,0.219,0.645,0.606,0.489,0.733,0.819,0.786
999,0.219,0.629,0.605,0.498,0.719,0.812,0.787
999,0.218,0.649,0.612,0.504,0.717,0.804,0.788
999,0.217,0.626,0.554,0.51,0.715,0.798,0.757
999,0.216,0.625,0.534,0.515,0.714,0.807,0.761
999,0.215,0.645,0.548,0.521,0.712,0.81,0.796
999,0.215,0.647,0.529,0.527,0.71,0.837,0.787
0.213,0.214,0.663,0.472,0.532,0.709,0.761,0.744
999,0.213,0.653,0.461,0.571,0.707,0.771,0.754
999,0.212,0.619,0.436,0.618,0.709,0.812,0.783
999,0.211,0.618,0.453,0.665,0.716,0.828,0.797
999,0.211,0.632,0.476,0.711,0.723,0.873,0.815
999,0.21,0.66,0.517,0.685,0.729,0.812,0.81
999,0.209,0.635,0.485,0.64,0.717,0.767,0.767
999,0.21,0.621,0.454,0.525,0.697,0.77,0.747
999,0.226,0.618,0.332,0.394,0.698,0.771,0.75
999,0.242,0.655,0.332,0.423,0.714,0.798,0.791
0.24,0.258,0.641,0.327,0.452,0.725,0.804,0.798
999,0.262,0.634,0.336,0.481,0.736,0.83,0.821
999,0.249,0.657,0.352,0.51,0.747,0.866,0.868
999,0.244,0.657,0.432,0.522,0.758,0.871,0.85
999,0.238,0.654,0.48,0.514,0.749,0.831,0.841
999,0.232,0.661,0.566,0.506,0.73,0.842,0.818
999,0.227,0.662,0.578,0.499,0.712,0.804,0.794
999,0.221,0.653,0.542,0.491,0.7,0.804,0.785
999,0.216,0.625,0.528,0.489,0.71,0.814,0.789
999,0.21,0.628,0.515,0.491,0.72,0.824,0.831
0.281,0.204,0.637,0.531,0.493,0.731,0.859,0.852
