,SMILES,boiling point
sample 190,CCCCC1CCCCC1,454.1
sample 191,CCCCCCCCCC,447.3
sample 192,CCCCC(CC)COC(=O)C=C,489.1
sample 193,c1ccc(Oc2ccccc2)cc1,531.5
sample 194,c1ccc(Nc2ccccc2)cc1,575.1
sample 195,CCOC(=O)c1ccccc1C(=O)OCC,567.1
sample 196,CC(C)c1cccc(C(C)C)c1,476.3
sample 197,C=CCCCCCCCCCC,486.5
sample 198,CCCCCCCCCCCC,489.5
sample 199,CCCCCCOCCCCCC,498.9
sample 200,c1ccc(Cc2ccccc2)cc1,537.4
sample 201,O=C(OCc1ccccc1)c1ccccc1,596.6
sample 202,c1ccc(CCc2ccccc2)cc1,553.6
sample 203,C=CCCCCCCCCCCCC,524.2
sample 204,CCCCCCCCCCCCCC,526.7
sample 205,CCCCOC(=O)c1ccccc1C(=O)OCCCC,613.1
sample 206,C=CCCCCCCCCCCCCCC,558
sample 207,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,622.1
sample 208,C=CCCCCCCCCCCCCCCCC,588
sample 209,CCCCCCCCCCCCCCCCCC(=O)O,648.3
sample 210,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,589.9
sample 211,CCCCCCCCCCCCCCCCCCC,603
sample 212,CCCCCCCCCCCCCCCCCC(=O)OCCCC,623.1
sample 213,C=C(C)C(C)=O,371.1
sample 214,CCC(Cl)Cl,361.3
sample 215,ClCCCCl,393.6
sample 216,OCCCO,487.6
sample 217,CC(C)C#N,376.8
sample 218,ClCCCCCl,427.1
sample 219,CCC(C)Br,364.4
sample 220,CCC(C)Cl,341.3
sample 221,COC(C)C,323.8
sample 222,OCCCCO,501.1
sample 223,CC(O)C(C)O,453.9
sample 224,CCC(C)N,336.1
sample 225,CC(C)(C)N,317.6
sample 226,CCCCC#N,414.5
sample 227,C=C(C)CC,304.3
sample 228,CC=C(C)C,311.7
sample 229,C=CC(C)C,293.2
sample 230,ClCCCCCCl,453.1
sample 231,CC(=O)C(C)C,367.6
sample 232,CC(=O)OC(C)C,361.6
sample 233,CCC(C)C(=O)O,450.1
sample 234,CCCC(=O)OC,375.9
sample 235,C1CCNCC1,379.6
sample 236,CC(C)(C)CO,386.3
sample 237,CCC(C)COCC(C)CC,337
sample 238,CCCC(C)OC(C)CCC,332.1
sample 239,COC(C)(C)C,328.4
sample 240,COCC(C)C,331.7
sample 241,CCCCCN,377.6
sample 242,Cc1cccnc1,417.3
sample 243,C1=CCCC=C1,353.5
sample 244,CC1=CC=CC1,345.9
sample 245,C=C(C)C(=C)C,341.9
sample 246,C=CCCC=C,332.6
sample 247,CCCCCC#N,436.8
sample 248,C=CC(C)(C)C,314.4
sample 249,CCC=C(C)C,340.5
sample 250,C=CC(C)CC,327.3
sample 251,CC(=O)C(C)C,386.6
sample 252,CCCCCC=O,401.5
sample 253,CCCC(=O)CC,396.6
sample 254,CCC(C)OC(C)=O,385.1
sample 255,CC(=O)OC(C)(C)C,369.1
sample 256,CCOC(=O)C(C)C,383
sample 257,CCCOC(=O)CC,395.6
sample 258,CCCCOCC,365.4
sample 259,CCC(CC)CO,419.6
sample 260,CCCCCCO,430.1
sample 261,CCCCC(C)O,413
sample 262,CCCC(C)CO,421.1
sample 263,CC(C)CC(C)O,404.9
sample 264,CCC(C)(CC)OC(C)(CC)CC,359.5
sample 265,OCCCCCCO,516.1
sample 266,CCCCCCN,404.6
sample 267,CC(C)=O,329.4
sample 268,CC(C)O,355.4
sample 269,CCC=COC=CCC,308.7
sample 270,C1=CCC=C1,314.6
sample 271,CCCCOC=O,379.3
sample 272,CC(C)CC(=O)O,448.3
sample 273,CCCCOC(C)=O,399.1
sample 274,C1CCCNCC1,404.9
sample 275,Cc1ccc(O)cc1,475.1
sample 276,Cc1ccc(N)cc1,473.4
sample 277,C=CCCCCC,366.8
sample 278,CC1CCCCC1,374.1
sample 279,CC(C)C(C)(C)C,354
sample 280,Cc1ccccc1C,417.6
sample 281,C=CCCCCCC,394.4
sample 282,CC(=O)OCc1ccccc1,486.6
sample 283,COC(=O)c1ccccc1C(=O)OC,556.8
sample 284,CCC(C)c1ccccc1,446.5
sample 285,CCc1ccc(CC)cc1,456.9
sample 286,C=CCCCCCCCC,443.8
sample 287,CCCCCCCCCCO,503.4
sample 288,CC(C)c1ccc(C(C)C)cc1,483.6
sample 289,CC(c1ccccc1)c1ccccc1,545.8
sample 290,CCCCCCCCCCCCCCCC,560
sample 291,CC(C)Br,332.6
sample 292,CC(C)(C)Cl,323.8
sample 293,Cc1ccncc1,418.5
sample 294,CCCCCOC=O,406.6
